trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9998453870753741}",25,0,-84.59350079203512,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9998360102124697}",30,0,-116.66812747192158,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.9998260647666837}",25,0,-102.85814878235684,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.9998155162733375}",25,0,-72.3101698004684,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.9998043281802198}",25,0,-210.03080329671226,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
6,False,"{'a': 0.3, 'e': 0.9997924617213358}",20,0,-150.21576609478603,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9997798757830492}",20,0,-27.62317550547912,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9997665267621525}",20,0,-47.626622864091715,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.9997523684153916}",30,0,-142.2963444733,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.9997373516999266}",30,0,-156.0039765550774,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.9997214246041931}",30,0,-194.66964948607347,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.3, 'e': 0.9997045319685849}",30,0,-170.47917307131962,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.9996866152953575}",20,0,-103.16929657713197,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.9996676125471062}",30,0,-158.23462130272574,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.9996474579331408}",20,0,-91.86045160215602,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.9996260816830356}",20,0,-87.68623273246234,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.999603409806598}",25,0,-130.30584839840276,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
