trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.27673146450744,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-247.04245340198148,"{0: 19, 1: 6, 2: 4, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.88396610492468,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.08775854718779,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,10,-53.563676284575756,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.29698483075664,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.54909460069771,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.4292202349946,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,15,10.612507633757836,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.54613653615093,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,10,-74.91857517205928,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-150.10556790223202,"{0: 25, 1: 4, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.07324616733335,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.51675415743038,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.65680432268326,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.9604283518862,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.67344593337825,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.1883780925451,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.96388953803528,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.36454110117393,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.28527528682164,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.85025332184863,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-169.8970399033928,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.34387856810432,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.52021399369934,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-162.61364903605056,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.3597549975399,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.11846103351289,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.76218004268051,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.90751200034683,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
